category,facility_type,facility_name,address,latitude,longitude,website
Sports and Recreation Facilities,Outdoor Pool,Fred Broadstock Outdoor Pool,15720 105 Avenue,53.54899854702,-113.59312638784,https://www.edmonton.ca/activities_parks_recreation/fred-broadstock-outdoor-pool
Parks and Playgrounds,River Valley Park,Whitemud Park,13204 Fox Drive,53.50344954243,-113.55525001483,https://www.edmonton.ca/whitemudpark
Sports and Recreation Facilities,Tennis Court,Borden Tennis Court,112 Avenue & 74 Street,53.56369777984,-113.45268682905,https://www.edmonton.ca/tenniscourts
Parks and Playgrounds,River Valley Park,Capilano Park,109 A Avenue 50 Street,53.55862599288,-113.41862490133,https://www.edmonton.ca/capilanopark
Sports and Recreation Facilities,Arena,Glengarry Arena,13340 85 Street,53.59464126787,-113.47236942492,https://www.edmonton.ca/arenas
Parks and Playgrounds,Snowshoeing,Mill Woods Park,23 Avenue and 66 Street,53.4554559609,-113.44092194552,https://www.edmonton.ca/snowshoeing
Parks and Playgrounds,River Valley Park,Hermitage Park,2115 Hermitage Road,53.59167773529,-113.37436550319,https://www.edmonton.ca/hermitagepark
Sports and Recreation Facilities,Tennis Court,Forest Heights Tennis Court,84 Street & 103 Avenue,53.55021251102,-113.46060370502,https://www.edmonton.ca/tenniscourts
Parks and Playgrounds,River Valley Park,Rundle Park,2909 113 Avenue,53.55610557975,-113.38663822831,https://www.edmonton.ca/rundlepark
Sports and Recreation Facilities,Recreation Centre,Bonnie Doon Leisure Centre,8648 81 Street,53.52390354336,-113.45378515375,https://www.edmonton.ca/bonniedoonlc/
Sports and Recreation Facilities,Staffed Sports Field,Rollie Miles Athletic Park,10480 73 Avenue,53.51079637875,-113.49970298177,https://www.edmonton.ca/rolliemilesathleticpark
Sports and Recreation Facilities,Recreation Centre,Dr. Anne Anderson Community Centre,11810 35 Avenue SW,53.40150848779,-113.54532121697,https://www.edmonton.ca/drannerec
Sports and Recreation Facilities,Tennis Court,Bonnie Doon Tennis Court,81 Street & 88 Avenue,53.52339425042,-113.45306015281,https://www.edmonton.ca/tenniscourts
Parks and Playgrounds,River Valley Park,Kinsmen Park,9100 Walterdale Hill,53.52993972782,-113.50854873005,https://www.edmonton.ca/kinsmenpark
Parks and Playgrounds,City Park,John Fry Sport Park,9700 28 Avenue,53.46103970676,-113.47864384366,https://www.edmonton.ca/johnfrysportspark
Sports and Recreation Facilities,Arena,George S Hughes South Side Arena,10525 72 Avenue,53.50840843155,-113.50166173046,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Arena,Terwillegar Quad Arena,2051 Leger Road,53.45868411565,-113.58250085929,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Staffed Sports Field,Goldstick Park & Pavilion,4210 101 Avenue,53.54544470444,-113.40257344366,https://www.edmonton.ca/activities_parks_recreation/goldstick-park-pavilion
Sports and Recreation Facilities,Arena,Callingwood Twin Arena,17740 69 Avenue,53.50533807055,-113.62742295802,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Arena,Londonderry Arena,14520 66 Street,53.60740300145,-113.44444055929,https://www.edmonton.ca/arenas
Parks and Playgrounds,River Valley Park,Victoria Park,12030 River Valley Road,53.53430234834,-113.52332751668,https://www.edmonton.ca/victoriapark
Sports and Recreation Facilities,Tennis Court,Jasper Place Tennis Court,89 Avenue & 163 Street,53.5281968966,-113.60446835112,https://www.edmonton.ca/tenniscourts
Parks and Playgrounds,City Park,Borden Park,7507 Borden Park Road,53.56369175133,-113.45247697435,https://www.edmonton.ca/bordenpark
Sports and Recreation Facilities,Recreation Centre,Hardisty Fitness and Leisure Centre,10535 65 Street,53.54906052376,-113.43079300901,https://www.edmonton.ca/hardisty/
Sports and Recreation Facilities,Tennis Court,Londonderry Tennis Court,145 Avenue & 66 Street,53.61326513969,-113.44002551264,https://www.edmonton.ca/tenniscourts
Parks and Playgrounds,River Valley Park,Buena Vista Park,13210 Buena Vista Road,53.51521049264,-113.54790056086,https://www.edmonton.ca/buenavistapark
Parks and Playgrounds,River Valley Park,Jan Reimer Park,Between Terwillegar Park and Fort Edmonton Park,53.48646578854,-113.59687183117,https://www.edmonton.ca/janreimerpark
Sports and Recreation Facilities,Recreation Centre,Mill Woods Recreation Centre,7207 28 Avenue,53.45704877987,-113.44473500162,https://www.edmonton.ca/millwoodshub/
Sports and Recreation Facilities,Arena,Westwood Arena,12040 97 Street,53.57482024254,-113.49287193472,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Staffed Sports Field,Mill Woods Community Artificial Turf,6904 23 Avenue,53.45526363508,-113.44021205901,https://www.edmonton.ca/activities_parks_recreation/mill-woods-community-artificial-turf
Parks and Playgrounds,Snowshoeing,John Janzen Nature Centre,7000 143 Street,53.5025404938,-113.57243575715,https://www.edmonton.ca/snowshoeing
Sports and Recreation Facilities,Recreation Centre,Central Lions Recreation Centre,11113 113 Street,53.55969999833,-113.51492637463,https://www.edmonton.ca/centrallions
Sports and Recreation Facilities,Arena,Kinsmen Twin Arena,1979 111 Street,53.45114661886,-113.51406773231,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Arena,Michael Cameron Arena,10404 56 Street,53.54697197154,-113.42344653046,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Outdoor Pool,Borden Natural Swimming Pool,7615 Borden Park Road,53.56383133445,-113.4546639725,https://www.edmonton.ca/activities_parks_recreation/borden-park-outdoor-pool
Sports and Recreation Facilities,Tennis Court,Grand Trunk Tennis Court,130 Avenue & 112 Street,53.59889403502,-113.51278850695,https://www.edmonton.ca/tenniscourts
Sports and Recreation Facilities,Recreation Centre,Booster Juice Recreation Centre in Terwillegar,2051 Leger Road,53.45867772768,-113.58239357094,https://www.edmonton.ca/terwillegarrec
Sports and Recreation Facilities,Arena,Castledowns Twin Arena,11520 153 Avenue,53.61583280908,-113.52041922861,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Golf Course,Victoria Golf Course and Driving Range,12130 River Valley Road,53.53431655236,-113.52297151668,https://www.edmonton.ca/victoriagolf
Sports and Recreation Facilities,Tennis Court,Austin O'Brien Tennis Court,61 Street & 95 Avenue,53.54490884818,-113.42764471986,https://www.edmonton.ca/tenniscourts
Sports and Recreation Facilities,Arena,Downtown Community Arena,10245 105 Avenue,53.5476018212,-113.49629301512,https://www.edmonton.ca/arenas
